step,epoch,loss,grad_norm,learning_rate
10,0.02740,1.041000,1.115000,0.00009591
20,0.05479,0.137300,0.498000,0.00009136
30,0.08219,0.016750,0.684400,0.00008682
40,0.10960,0.003336,0.034720,0.00008227
50,0.13700,0.001730,0.023270,0.00007773
60,0.16440,0.005914,0.003401,0.00007318
70,0.19180,0.00004385,0.003138,0.00006864
80,0.21920,0.00002785,0.0005585,0.00006409
90,0.24660,0.010350,1.932000,0.00005955
100,0.27400,0.001721,1.559000,0.00005500
110,0.30140,0.001915,0.023230,0.00005045
120,0.32880,0.001290,0.487500,0.00004591
130,0.35620,0.00004514,0.001682,0.00004136
140,0.38360,0.00005115,0.005315,0.00003682
150,0.41100,0.001632,0.003627,0.00003227
160,0.43840,0.002397,0.002024,0.00002773
170,0.46580,0.00004930,0.0002968,0.00002318
180,0.49320,0.00010480,0.0004457,0.00001864
190,0.52050,0.00003761,0.001496,0.00001409
200,0.54790,0.017060,0.001309,0.000009545
210,0.57530,0.00001247,0.0007958,0.000005000
220,0.60270,0.00002416,0.001187,0.0000004545
